param	Comm H_mean	Comm H_sigma	dummy Comm H_mean	dummy Comm H_sigma	dummy logComm H_mean	dummy logComm H_sigma	logComm H_mean	logComm H_sigma	
0.0	0.20735483870967739	0.013937740425291131	0.20735483870967739	0.013937740425291131	null	null	null	null	
0.002173913043478261	0.7789677419354838	0.11191258171088708	0.23193548387096768	0.017078843644101845	null	null	0.8161612903225806	0.12377875618737191	
0.010869565217391304	0.7621290322580645	0.1402995655331705	0.23193548387096768	0.017078843644101845	null	null	0.8413225806451612	0.09150107390413459	
0.021739130434782608	0.7733548387096774	0.11045404981735372	0.23193548387096768	0.017078843644101845	null	null	0.8513870967741936	0.06909755562476247	
0.043478260869565216	0.7340967741935484	0.1495462014430787	0.23193548387096768	0.017078843644101845	null	null	0.8537419354838709	0.05852647772772009	
0.06521739130434782	0.8003225806451614	0.1081852960093592	0.23193548387096768	0.017078843644101845	null	null	0.8431612903225807	0.07954791908166514	
0.08695652173913043	0.8568709677419355	0.06354120913557891	0.23193548387096768	0.017078843644101845	null	null	0.8252258064516129	0.06390983937161028	
0.10869565217391304	0.8191612903225807	0.05607404714181738	0.23193548387096768	0.017078843644101845	null	null	0.8052258064516129	0.09783726734830091	
0.13043478260869565	0.8330322580645161	0.09914109112101092	0.23193548387096768	0.017078843644101845	null	null	0.8310322580645162	0.06699516706959774	
0.15217391304347827	0.856516129032258	0.10513102891552568	0.23193548387096768	0.017078843644101845	null	null	0.8288709677419354	0.07534623514738144	
0.17391304347826086	0.8750967741935483	0.11451757281133383	0.23193548387096768	0.017078843644101845	null	null	0.8831612903225807	0.05637543246890609	
0.19565217391304346	0.8775483870967742	0.0650517550565301	0.23193548387096768	0.017078843644101845	null	null	0.9048064516129031	0.07182320021593909	
0.21739130434782605	0.8805161290322581	0.1116057759756411	0.23193548387096768	0.017078843644101845	null	null	0.9187741935483871	0.03897187188824541	
0.23913043478260865	0.7945806451612902	0.18857890270029326	0.23193548387096768	0.017078843644101845	null	null	0.9252258064516129	0.04969994369032158	
0.26086956521739124	0.609774193548387	0.28787502949183597	0.23193548387096768	0.017078843644101845	null	null	0.934290322580645	0.04446026571213782	
0.28260869565217384	0.6413548387096774	0.29688492557845825	0.23193548387096768	0.017078843644101845	null	null	0.9373548387096774	0.04334568515761249	
0.30434782608695643	0.48299999999999993	0.29742650960535605	0.23193548387096768	0.017078843644101845	null	null	0.9343548387096774	0.046658551893448426	
0.326086956521739	0.2934193548387096	0.1390988289592283	0.23193548387096768	0.017078843644101845	null	null	0.9318064516129032	0.06130677010023083	
0.3478260869565216	0.2928709677419354	0.11978624446700978	0.23193548387096768	0.017078843644101845	null	null	0.9621290322580645	0.035525293515490886	
0.3695652173913042	0.255	0.049779081844157316	0.23193548387096768	0.017078843644101845	null	null	0.9558709677419355	0.036790790444527384	
0.3913043478260868	0.2541290322580645	0.08611940665475332	0.23193548387096768	0.017078843644101845	null	null	0.9620645161290323	0.03244291125132463	
0.4130434782608694	0.2511290322580645	0.09312538774429421	0.23193548387096768	0.017078843644101845	null	null	0.9501290322580644	0.054015580799704276	
0.434782608695652	0.25399999999999995	0.09315194702896613	0.23193548387096768	0.017078843644101845	null	null	0.9619354838709677	0.02490077429573684	
0.4565217391304346	0.25025806451612903	0.09305677275327645	0.23193548387096768	0.017078843644101845	null	null	0.9591290322580646	0.04169937668545661	
0.4782608695652172	0.25364516129032255	0.09324026006942907	0.23193548387096768	0.017078843644101845	null	null	0.9464838709677419	0.03625185535936316	
0.4999999999999998	0.2476129032258064	0.08313117344940485	0.23193548387096768	0.017078843644101845	null	null	0.9558709677419355	0.036790790444527384	
0.5217391304347824	0.25080645161290316	0.09474189216069341	0.23193548387096768	0.017078843644101845	null	null	0.9558709677419355	0.036790790444527384	
