param	dummy logComm H_mean	dummy logComm H_sigma	logComm H_mean	logComm H_sigma	
0.0	null	null	null	null	
0.004	null	null	0.6514516129032257	0.10362038163132165	
0.02	null	null	0.6743548387096774	0.08434789954805381	
0.04	0.7189516129032257	0.09065238367124841	0.6415322580645161	0.1681179357035935	
0.08	0.7240322580645161	0.062203999032733014	0.7498387096774193	0.04563233605298386	
0.12	0.719758064516129	0.09793404414769029	0.7254838709677419	0.08787071510866372	
0.16	0.7820967741935484	0.1330598565492411	0.775241935483871	0.13322317032461867	
0.2	0.8015322580645161	0.12395504958822096	0.789274193548387	0.1407177417043957	
0.24000000000000002	0.8416935483870968	0.08562814969863387	0.8416935483870968	0.08562814969863387	
0.28	0.8475806451612903	0.05300835345396138	0.8475806451612903	0.05300835345396138	
0.32	0.8766129032258064	0.04242763319197332	0.8766129032258064	0.04242763319197332	
0.36	0.9149193548387097	0.06798235626318055	0.9149193548387097	0.06798235626318055	
0.39999999999999997	0.9025	0.1177636966191839	0.9025	0.1177636966191839	
0.43999999999999995	0.9080645161290322	0.08395033465606769	0.9080645161290322	0.08395033465606769	
0.4799999999999999	0.8218548387096773	0.17732380124809494	0.8218548387096773	0.17732380124809494	
0.5199999999999999	0.8933870967741935	0.09329238237438123	0.8933870967741935	0.09329238237438123	
0.5599999999999999	0.8498387096774194	0.1006329259174289	0.8498387096774194	0.1006329259174289	
0.6	0.8914516129032257	0.03873162460268755	0.8914516129032257	0.03873162460268755	
0.64	0.8498387096774194	0.1006329259174289	0.8498387096774194	0.1006329259174289	
0.68	0.8498387096774194	0.1006329259174289	0.8498387096774194	0.1006329259174289	
0.7200000000000001	0.8620967741935484	0.050101873325435614	0.8620967741935484	0.050101873325435614	
0.7600000000000001	0.8346774193548386	0.08678498553828493	0.8346774193548386	0.08678498553828493	
0.8000000000000002	0.7254838709677418	0.19747135445611316	0.4104032258064516	0.2708295058295673	
0.8400000000000002	0.19564516129032256	0.002421146290150009	0.19451612903225807	0.0012903225806451257	
0.8800000000000002	0.1962096774193548	0.002889753688253014	0.19370967741935485	1.86242022319241E-4	
0.9200000000000003	0.1962096774193548	0.002889753688253014	0.19395161290322577	6.106353059999848E-4	
0.9600000000000003	0.1962096774193548	0.002889753688253014	0.19677419354838702	0.002234904267830828	
0.98	0.1962096774193548	0.002889753688253014	null	null	
0.996	0.1962096774193548	0.002889753688253014	null	null	
1.0000000000000002	null	null	null	null	

