param	RSP K_mean	RSP K_sigma	Comm H_mean	Comm H_sigma	logHeat H_mean	logHeat H_sigma	Heat H_mean	Heat H_sigma	pWalk H_mean	pWalk H_sigma	logFor H_mean	logFor H_sigma	FE K_mean	FE K_sigma	SCCT H_mean	SCCT H_sigma	SP-CT H_mean	SP-CT H_sigma	SCT H_mean	SCT H_sigma	Walk H_mean	Walk H_sigma	For H_mean	For H_sigma	logComm H_mean	logComm H_sigma	
0.0	null	null	0.3573388203017832	0.0	null	null	0.3573388203017832	0.0	0.3573388203017832	0.0	null	null	null	null	0.29149519890260633	0.0	0.8507087334247828	0.0	0.29149519890260633	0.0	null	null	0.3573388203017832	0.0	null	null	
0.05	0.8676268861454047	0.0	0.8058984910836763	0.0	0.7926383173296754	0.0	0.7661179698216736	0.0	0.8132144490169181	0.0	0.8127572016460906	0.0	0.7821216278006401	0.0	0.8113854595336076	0.0	0.8136716963877457	0.0	0.7866941015089164	0.0	0.7951531778692273	0.0	0.793095564700503	0.0	0.7951531778692273	0.0	
0.25	0.786008230452675	0.0	0.5214906264288981	0.0	0.7828074988568815	0.0	0.793095564700503	0.0	0.7784636488340192	0.0	0.8127572016460906	0.0	0.7752629172382258	0.0	0.8125285779606767	0.0	0.8026977594878829	0.0	0.8177869227251943	0.0	0.8310470964791953	0.0	0.793095564700503	0.0	0.8310470964791953	0.0	
0.5	0.7014174668495656	0.0	0.6513488797439415	0.0	0.804983996342021	0.0	0.8113854595336076	0.0	0.540695016003658	0.0	0.8127572016460906	0.0	0.7848651120256058	0.0	0.797896662094193	0.0	0.8020118884316415	0.0	0.8230452674897119	0.0	0.8310470964791953	0.0	0.7144490169181528	0.0	0.8132144490169181	0.0	
0.75	0.8132144490169181	0.0	0.4945130315500686	0.0	0.8042981252857796	0.0	0.8033836305441244	0.0	0.5194330132601738	0.0	0.8127572016460906	0.0	0.8127572016460906	0.0	0.797896662094193	0.0	0.8042981252857796	0.0	0.8230452674897119	0.0	0.8310470964791953	0.0	0.7921810699588477	0.0	0.8223593964334704	0.0	
0.95	0.7825788751714677	0.0	0.6129401005944216	0.0	0.8230452674897119	0.0	0.8230452674897119	0.0	0.40169181527206227	0.0	0.8042981252857796	0.0	0.8031550068587106	0.0	0.797896662094193	0.0	0.7866941015089164	0.0	0.8230452674897119	0.0	0.8132144490169181	0.0	0.7866941015089164	0.0	0.7400548696844993	0.0	
1.0	null	null	null	null	null	null	null	null	0.531092821216278	0.0	null	null	null	null	null	null	0.7866941015089164	0.0	null	null	null	null	null	null	null	null	

