param	Comm H_mean	Comm H_sigma	dummy Comm H_mean	dummy Comm H_sigma	dummy logComm H_mean	dummy logComm H_sigma	logComm H_mean	logComm H_sigma	
0.0	0.19935483870967735	0.004279515858523128	0.19935483870967735	0.004279515858523128	null	null	null	null	
0.004	0.5938709677419354	0.19113041603781997	0.39080645161290317	0.057959582602022094	null	null	0.6225	0.11309396330901438	
0.02	0.5938709677419354	0.19113041603781997	0.49201612903225805	0.19556678304860609	null	null	0.6709677419354838	0.1698527243551415	
0.04	0.5966129032258064	0.27567701169353004	0.5924999999999999	0.27945395135177215	0.6457258064516129	0.10712895455116607	0.5930645161290322	0.17921176702484268	
0.08	0.6298387096774193	0.20160722572651135	0.6298387096774193	0.20160722572651135	0.7333064516129031	0.11008569644560862	0.7333064516129031	0.11008569644560862	
0.12	0.6614516129032257	0.16703666872657516	0.6701612903225806	0.14967290037672162	0.7646774193548387	0.08111112694950724	0.7369354838709677	0.05804569587465862	
0.16	0.6149193548387096	0.138242869174356	0.6149193548387096	0.138242869174356	0.7170161290322581	0.05011701534602696	0.7106451612903225	0.05290322580645168	
0.2	0.6471774193548386	0.12428536614281203	0.6638709677419354	0.10957110596898906	0.6702419354838709	0.10963673344029777	0.6702419354838709	0.10963673344029777	
0.24000000000000002	0.547258064516129	0.2554046390663406	0.5614516129032258	0.2742717788463164	0.7640322580645161	0.06690652307798552	0.7705645161290322	0.06083040513909183	
0.28	0.37991935483870964	0.33106806157402263	0.37991935483870964	0.33106806157402263	0.7169354838709677	0.14143717511928472	0.7169354838709677	0.14143717511928472	
0.32	0.21822580645161285	0.029499819220243608	0.21411290322580642	0.02923629022247768	0.7388709677419354	0.09688756799747938	0.7269354838709677	0.11174909336631264	
0.36	0.2184677419354838	0.029236290222477708	0.2184677419354838	0.029236290222477708	0.7766935483870967	0.1456601642685283	0.7766935483870967	0.1456601642685283	
0.39999999999999997	0.19951612903225802	0.006890954825811674	0.19951612903225802	0.006890954825811674	0.8087096774193547	0.11903415215440893	0.8087096774193547	0.11903415215440893	
0.43999999999999995	0.20032258064516126	0.006827745318876369	0.20032258064516126	0.006827745318876369	0.7279032258064515	0.12173576976938959	0.7279032258064515	0.12173576976938959	
0.4799999999999999	0.19717741935483862	0.0018878548243096303	0.19717741935483862	0.0018878548243096303	0.7953225806451613	0.13068736872962697	0.7953225806451613	0.13068736872962697	
0.5199999999999999	0.1969354838709677	0.0023036865898525007	0.1969354838709677	0.0023036865898525007	0.8033064516129031	0.14368578056989936	0.8033064516129031	0.14368578056989936	
0.5599999999999999	0.19709677419354835	0.0032472406173207403	0.19709677419354835	0.0032472406173207403	0.751774193548387	0.21008174416157346	0.751774193548387	0.21008174416157346	
0.6	0.19709677419354835	0.0032472406173207403	0.19709677419354835	0.0032472406173207403	0.7396774193548387	0.2083621277360976	0.7396774193548387	0.2083621277360976	
0.64	0.19709677419354835	0.0032472406173207403	0.19709677419354835	0.0032472406173207403	0.7643548387096775	0.07552728280198202	0.7643548387096775	0.07552728280198202	
0.68	0.19709677419354835	0.0032472406173207403	0.19709677419354835	0.0032472406173207403	0.7969354838709677	0.1496617761569593	0.7969354838709677	0.1496617761569593	
0.7200000000000001	0.19709677419354835	0.0032472406173207403	0.19709677419354835	0.0032472406173207403	0.7733870967741936	0.1753534659365351	0.7358870967741935	0.1300234443493623	
0.7600000000000001	0.19709677419354835	0.0032472406173207403	0.19709677419354835	0.0032472406173207403	0.7700806451612903	0.04620256940208884	0.8208064516129032	0.0990192979506115	
0.8000000000000002	0.19709677419354835	0.0032472406173207403	0.19709677419354835	0.0032472406173207403	0.6519354838709677	0.3107543996678694	0.3439516129032258	0.27920982292317026	
0.8400000000000002	0.19709677419354835	0.0032472406173207403	0.19709677419354835	0.0032472406173207403	0.19782258064516128	0.005432236354769774	0.19532258064516125	0.0023036865898525046	
0.8800000000000002	0.19709677419354835	0.0032472406173207403	0.19709677419354835	0.0032472406173207403	0.19782258064516128	0.005432236354769774	0.19499999999999998	0.0024777889509253245	
0.9200000000000003	0.19709677419354835	0.0032472406173207403	0.19709677419354835	0.0032472406173207403	0.19782258064516128	0.005432236354769774	0.1950806451612903	0.002419354838709642	
0.9600000000000003	0.19709677419354835	0.0032472406173207403	0.19709677419354835	0.0032472406173207403	0.19782258064516128	0.005432236354769774	0.19379032258064516	1.6129032258065112E-4	
0.98	null	null	0.19709677419354835	0.0032472406173207403	0.19782258064516128	0.005432236354769774	null	null	
0.996	null	null	0.19709677419354835	0.0032472406173207403	0.19782258064516128	0.005432236354769774	null	null	
1.0000000000000002	null	null	0.19935483870967735	0.004279515858523128	null	null	null	null	

