param	dummy logComm H_mean	dummy logComm H_sigma	logComm H_mean	logComm H_sigma	
0.0	null	null	null	null	
0.004	null	null	0.5770967741935483	0.1379378375730866	
0.02	null	null	0.5700806451612902	0.12456553006316291	
0.04	null	null	0.6094354838709677	0.08448303341170509	
0.08	0.6119354838709676	0.02681885121396968	0.5801612903225806	0.0723178036464436	
0.12	0.6366129032258063	0.05900581110379429	0.6302419354838709	0.04901766548558392	
0.16	0.6598387096774192	0.035128721228517415	0.6598387096774192	0.035128721228517415	
0.2	0.6557258064516129	0.07489448005400548	0.662258064516129	0.08197357509299914	
0.24000000000000002	0.6307258064516128	0.05985957379067837	0.6087903225806451	0.08139921661896425	
0.28	0.6705645161290322	0.1097805887311481	0.7166129032258064	0.1291430975553935	
0.32	0.7391935483870967	0.09731194677115064	0.7391935483870967	0.09731194677115064	
0.36	0.7008064516129032	0.10016445028173823	0.7071774193548387	0.09956421695894188	
0.39999999999999997	0.7566935483870968	0.05003181436684085	0.7630645161290323	0.03786580170293004	
0.43999999999999995	0.7458870967741934	0.10060392558897789	0.7458870967741934	0.10060392558897789	
0.4799999999999999	0.7654838709677418	0.093865979248894	0.7654838709677418	0.093865979248894	
0.5199999999999999	0.8043548387096774	0.036233049190272315	0.8043548387096774	0.036233049190272315	
0.5599999999999999	0.7562096774193549	0.03360662335822284	0.7562096774193549	0.03360662335822284	
0.6	0.7599193548387095	0.11273824351331835	0.7599193548387095	0.11273824351331835	
0.64	0.7401612903225805	0.1163666922962174	0.7401612903225805	0.1163666922962174	
0.68	0.8483870967741935	0.07497577363375837	0.8483870967741935	0.07497577363375837	
0.7200000000000001	0.8281451612903226	0.09931830601913165	0.8281451612903226	0.09931830601913165	
0.7600000000000001	0.8557258064516129	0.07691789884917218	0.8557258064516129	0.07691789884917218	
0.8000000000000002	0.835	0.09329386956180329	0.835	0.09329386956180329	
0.8400000000000002	0.8279838709677418	0.09600785282658097	0.8279838709677418	0.09600785282658097	
0.8800000000000002	0.8482258064516128	0.07059358848118856	0.1956451612903225	9.31210111596189E-4	
0.9200000000000003	0.1956451612903225	9.31210111596189E-4	0.19451612903225807	0.0012903225806451257	
0.9600000000000003	0.1956451612903225	9.31210111596189E-4	0.19475806451612898	0.0012177152314952469	
0.98	0.1956451612903225	9.31210111596189E-4	0.19419354838709674	7.449680892768839E-4	
0.996	0.1956451612903225	9.31210111596189E-4	null	null	
1.0000000000000002	null	null	null	null	

