param	RSP K_mean	RSP K_sigma	Comm H_mean	Comm H_sigma	logHeat H_mean	logHeat H_sigma	Heat H_mean	Heat H_sigma	pWalk H_mean	pWalk H_sigma	logFor H_mean	logFor H_sigma	FE K_mean	FE K_sigma	SCCT H_mean	SCCT H_sigma	SP-CT H_mean	SP-CT H_sigma	SCT H_mean	SCT H_sigma	Walk H_mean	Walk H_sigma	For H_mean	For H_sigma	logComm H_mean	logComm H_sigma	
0.0	null	null	0.8463566377418925	0.0	null	null	0.8463566377418925	0.0	0.8463566377418925	0.0	null	null	null	null	0.7446490599090608	0.0	0.9608935908940632	0.0	0.7446490599090608	0.0	null	null	0.8463566377418925	0.0	null	null	
0.05	0.8744885209722503	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.9814515055624015	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.9814515055624015	0.0	0.9845429213020013	0.0	
0.25	0.8737156670373503	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	
0.5	0.8795893569425898	0.0	0.9860886291718012	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.9833063550061614	0.0	0.915295208734967	0.0	0.9845429213020013	0.0	0.9122037929953672	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.9833063550061614	0.0	
0.75	0.8812896355993697	0.0	0.9865523415327411	0.0	0.9826880718582414	0.0	0.9802149392665617	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.8908730243921289	0.0	0.9845429213020013	0.0	0.8918004491140088	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.9816060763493815	0.0	
0.95	0.9845429213020013	0.0	0.8652142737534511	0.0	0.9081849525338875	0.0	0.9081849525338875	0.0	0.9860886291718012	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.8908730243921289	0.0	0.9845429213020013	0.0	0.8918004491140088	0.0	0.9845429213020013	0.0	0.9845429213020013	0.0	0.9012292671197881	0.0	
1.0	null	null	null	null	null	null	null	null	0.9845429213020013	0.0	null	null	null	null	null	null	0.9845429213020013	0.0	null	null	null	null	null	null	null	null	

