param	RSP K_mean	RSP K_sigma	Heat K_mean	Heat K_sigma	logHeat K_mean	logHeat K_sigma	Comm K_mean	Comm K_sigma	logFor K_mean	logFor K_sigma	For K_mean	For K_sigma	FE K_mean	FE K_sigma	Walk K_mean	Walk K_sigma	logComm K_mean	logComm K_sigma	pWalk K_mean	pWalk K_sigma	SCCT K_mean	SCCT K_sigma	SCT K_mean	SCT K_sigma	SP-CT K_mean	SP-CT K_sigma	
0.16	0.6237329713327477	0.010078423065544866	0.642573824163539	0.0480822849574345	0.6687911842210333	0.04399096802279657	0.6961756767547712	0.013540539907873133	0.6048403737123692	0.0366036526974859	0.2944885410844047	0.01159300910560584	0.6300420027150043	0.013666611252467134	0.6353870478319892	0.01587772433208148	0.6329684580372116	0.04561033607382639	0.6278763874470974	0.01731104371792444	0.3091917272219117	0.019093954390794733	0.2966445739838697	0.012303555924201497	0.6288269583965503	0.01579642700305873	
0.18	0.6245283079134393	0.01053967652007222	0.6368014054140382	0.051318928780714895	0.6704451010141341	0.043056596227129304	0.7046675716681307	0.016647484646944932	0.5975846043280364	0.046467316085742505	0.2944885410844047	0.01159300910560584	0.6297181186616626	0.013077796289771966	0.6350497484628285	0.01544859607929675	0.6290550187654715	0.05377858761589883	0.6289745268705582	0.0177965216569023	0.30897324922143254	0.01931012255346707	0.2966445739838697	0.012303555924201497	0.6286583087119699	0.014953305362437799	
0.19999999999999998	0.624512976123932	0.010347078936293535	0.6295073065559371	0.050396394399846556	0.659377465463547	0.03938497569397179	0.7107178791024515	0.0176353438166064	0.5763826559131199	0.05069136674541138	0.2944885410844047	0.01159300910560584	0.6292064201868562	0.01366783866168814	0.6335012377225905	0.015269831640327691	0.6232653517527749	0.052977615613004445	0.630647608400543	0.02391742968393432	0.3081644973249221	0.01764654410251285	0.2966445739838697	0.012303555924201497	0.6310960632436317	0.013230209399169371	
0.21999999999999997	0.6234397508584205	0.010039085186414066	0.6118259203066357	0.061431170646870745	0.6642453086321168	0.038443557306357144	0.7156777130080652	0.016927808014009248	0.5778449253373793	0.04851648856036002	0.2944885410844047	0.01159300910560584	0.6301665735047512	0.016192799444847528	0.6327672282999282	0.012839525631620594	0.6298043599776411	0.05081634362158443	0.6306265271899705	0.02642538442067508	0.30737491016529583	0.018176448150472816	0.29667140461550745	0.012291600741551835	0.6313337059809949	0.013518351192283352	
0.23999999999999996	0.6258755889163938	0.00977097171744204	0.6115403657270622	0.06359046156776067	0.6498775053900823	0.04737287747682542	0.7151525992174399	0.014213580662838586	0.5760242753333865	0.048194735926702106	0.2944885410844047	0.01159300910560584	0.6324452607202747	0.017071285308145907	0.6314429449812345	0.01417462283289609	0.6156128723149404	0.05541398180581506	0.6320964625089834	0.02389394187881228	0.30712576858580215	0.01737512741324112	0.2968630519843488	0.012301993767533024	0.6299576778727142	0.016121390136567954	
0.25999999999999995	0.6286161462908249	0.012086368699687215	0.5962392397987702	0.07463611735059979	0.6442162421145093	0.04457279229662936	0.7156662141659347	0.01716994683139809	0.5588411722430727	0.05199120059172318	0.2944885410844047	0.01159300910560584	0.6341317575660784	0.0156568095759402	0.6314256967180388	0.015459227152150352	0.5994320849636668	0.06058040524496782	0.6335050706699673	0.022363121499670017	0.31274295296654153	0.026790471922567737	0.2965180867204344	0.012466448571818056	0.6295954643456041	0.0165051154336992	
0.27999999999999997	0.6278974686576698	0.011896148891938638	0.5980426415395672	0.07187994052242383	0.6180812904256169	0.04957216690185228	0.7153634113231654	0.014279692172698725	0.5520185259123214	0.05543267387138268	0.2944885410844047	0.01159300910560584	0.6339324443024834	0.015754769366435318	0.6341068434081291	0.014224362509864976	0.6171115547392797	0.05512940636290616	0.6327327317735367	0.020938107670471398	0.31205302243871275	0.02624191295736539	0.2978040405653597	0.01795375143101324	0.6280757007106924	0.0168852633345156	
0.3	0.6263796214964465	0.012333838503859496	0.5851390241954804	0.07056331192141742	0.6076365088237643	0.05059178582293193	0.7138973089515293	0.014318063899628987	0.5414932524155553	0.053287078289779855	0.2944885410844047	0.01159300910560584	0.6333249221432564	0.017286747034298056	0.6341183422502595	0.01626972208344685	0.6340550986185419	0.042292446682507034	0.6306169448215284	0.02183139175694922	0.31150491096382654	0.02538326024915872	0.2972482631957199	0.012003816773627215	0.627420266709255	0.017243511446466304	
0.32	0.6296472091351913	0.011543642225145	0.5621413399345205	0.07621561306388432	0.5843283558252815	0.06064248572139973	0.7150376107961351	0.014172159562754798	0.5477352072187176	0.056088854539322386	0.2944885410844047	0.01159300910560584	0.6360386488860497	0.014640790023622768	0.634097261039687	0.017875542877867016	0.6345591311985946	0.03236587030792217	0.6326196598259203	0.01760056910755031	0.320140541403817	0.03474385919612473	0.30049668609758046	0.022195539181954712	0.6294517288189732	0.014244142522975671	
0.34	0.6290780164497325	0.011163669311582336	0.5354103649285316	0.08660870474384733	0.5567158029226225	0.06913479836770209	0.7146849796374671	0.01449800512199835	0.5491725624850275	0.051419802994131625	0.2944885410844047	0.01159300910560584	0.6364008624131597	0.014197385742323442	0.6343751497245069	0.019213934931789984	0.6401092390002395	0.029638313358643906	0.6347776091990737	0.018817047941877038	0.3197227501397429	0.037720366967382436	0.30105629641459714	0.028686290151222957	0.6279147169208656	0.01582320543841986	
0.36000000000000004	0.6272094546035295	0.010774283360412567	0.5126484069312466	0.09055312173603333	0.5376545556176635	0.07703725819172888	0.7136539167931006	0.01494825420561287	0.5371045276690889	0.06158787691884704	0.2944885410844047	0.01159300910560584	0.6334226623013656	0.01523080798505829	0.6344000638824563	0.023358034574660194	0.6384284915755011	0.021732219855650128	0.6323609358779845	0.018781650574778354	0.3235691128323884	0.03549150729824245	0.3025837259442625	0.028771960761818375	0.6223377784875829	0.017321532094175	
0.38000000000000006	0.6285644015012377	0.013392213873651844	0.4922935398866087	0.09609216728170211	0.5113126247704224	0.08363062973181422	0.7156489659027391	0.014741615942735811	0.5398987463067955	0.05502372725576092	0.2944885410844047	0.01159300910560584	0.6319258963507147	0.013795899088305329	0.6334763235646411	0.01880121198873149	0.6375085842050627	0.02000504393909648	0.6322497804040565	0.019631133108438528	0.32494130799329235	0.04032850024170066	0.3096114349596742	0.04484448682386814	0.6220733051185818	0.018269161251571388	
0.4000000000000001	0.629122095344566	0.010888213884611957	0.4648630519843488	0.08903733097035657	0.49551513215683146	0.08080687527871436	0.7150069472171205	0.014747231549732516	0.521604088477202	0.06613505106969073	0.2944885410844047	0.01159300910560584	0.6357914237802443	0.015971859351379274	0.6323666852990497	0.01841596475704074	0.6384859857861536	0.016777833702773085	0.6332061007745748	0.021594272965643927	0.3305699912161622	0.050294231120358114	0.3090364928531502	0.04452526425862692	0.6223109478559451	0.0172276003804882	
0.4200000000000001	0.6316652559290905	0.012993479894850123	0.452887007905454	0.085590170781403	0.46186568713567033	0.08570521349323489	0.7149896989539247	0.01458355347384274	0.5105709494530065	0.05922209051769144	0.2944885410844047	0.01159300910560584	0.636406611834225	0.018049987739423737	0.6338289547233091	0.023594860665390884	0.6355039527269823	0.023993397494309357	0.6335491495648008	0.02192470694654782	0.3287397588437275	0.047681292522386495	0.31017104527669087	0.04504245891817154	0.623140780963028	0.021220180071744	
0.4400000000000001	0.632163539088078	0.011755427570042682	0.4344907769703745	0.08697939437801759	0.4564765631238521	0.0846656424708437	0.7145795735846043	0.015371278145964855	0.5145457158827758	0.0576333505001815	0.2944885410844047	0.01159300910560584	0.6345802124091672	0.01843021560830359	0.6307338497165216	0.02149977290708174	0.6373840134153158	0.01729861122240497	0.6336258085123373	0.02259188154958525	0.329515930687535	0.054725521728292245	0.31509063323484787	0.053200540030938125	0.6212933003273976	0.017537274498709777	
0.46000000000000013	0.6303735526630999	0.012403965770843977	0.42462668689611116	0.09068415378042581	0.44334680188453246	0.08630570242969442	0.7151353509542442	0.014785936634540437	0.5100669168729538	0.05850555121168039	0.2947587638744709	0.012177009024451376	0.6334916553541484	0.015312143943410052	0.6324644254571588	0.019675821815169553	0.6340378503553462	0.013453334958294304	0.6360252335702308	0.022088417752524354	0.3345600894354388	0.06577599683169663	0.3153263594985227	0.05297532983754455	0.6187482232691847	0.02069169903683251	
0.48000000000000015	0.631032819611914	0.01139545225743999	0.4065715882775693	0.08121312622399464	0.4133386568713567	0.07631580604783916	0.7151640980595704	0.014762944646907122	0.50538497165216	0.06717300128020191	0.2947587638744709	0.012177009024451376	0.6330374510899944	0.017967222796002005	0.6286084803960713	0.019799133138502983	0.6351379062524954	0.011931330924310228	0.6359140780963028	0.021281279474025885	0.3371051664936517	0.06539327429709575	0.3237051824642658	0.06276402887575758	0.6185374111634592	0.018535145957839345	
0.5000000000000001	0.6309216641379861	0.010333079419990256	0.39917783278767066	0.08325860254722438	0.4028842929010621	0.0840662016992315	0.7150261119540047	0.014730415834448219	0.5056130320210812	0.06668000306416284	0.2947587638744709	0.012177009024451376	0.6351149085682344	0.015347104358817119	0.6351302403577418	0.024313888150677882	0.631046234927733	0.011423100729070067	0.6388347839974446	0.020543677498825175	0.35012952168010864	0.0716360869297391	0.32711842210332986	0.06262784475401564	0.6142157629960873	0.019716573326917015	
0.5200000000000001	0.6307990098219277	0.010952866724093529	0.3891795895552184	0.07772824998486359	0.4006439351593069	0.0735327679249705	0.7150261119540047	0.014730415834448219	0.5087982112912242	0.06553559806584448	0.2947587638744709	0.012177009024451376	0.6347871915675158	0.020590362120563307	0.6285624850275493	0.02065640683889208	0.628987942186377	0.011017379987632006	0.6427750539008226	0.0172777825935918	0.35307514173919985	0.07506989389392389	0.32927637147648325	0.06281533692348602	0.6168049189491336	0.018704727897441945	
