param	RSP K_mean	RSP K_sigma	Heat K_mean	Heat K_sigma	logHeat K_mean	logHeat K_sigma	Comm K_mean	Comm K_sigma	logFor K_mean	logFor K_sigma	For K_mean	For K_sigma	FE K_mean	FE K_sigma	Walk K_mean	Walk K_sigma	logComm K_mean	logComm K_sigma	pWalk K_mean	pWalk K_sigma	SCCT K_mean	SCCT K_sigma	SCT K_mean	SCT K_sigma	SP-CT K_mean	SP-CT K_sigma	
0.16			0.6806004950890362	0.008961282189064331			0.6983662061806276	0.01330990631665336			0.29604088477201945	0.012127584207600848							0.6250227581250499	0.026488221317768533	0.3140749021799888	0.01365754774483527	0.2987431126726823	0.012122245253898174			
0.18			0.6770741835023557	0.020255662734747625			0.7111874151561127	0.017663946795143926			0.29604088477201945	0.012127584207600848							0.6210748223269185	0.025416823616183967	0.3140749021799888	0.01365754774483527	0.2987431126726823	0.012122245253898174			
0.19999999999999998			0.6142138465223989	0.0960349344344677			0.7255801325560969	0.0070465925561618795			0.29604088477201945	0.012127584207600848							0.6241028507546116	0.026827500073918768	0.3140749021799888	0.01365754774483527	0.2987431126726823	0.012122245253898174			
0.21999999999999997			0.5549564800766589	0.13949375662062397			0.7149820330591712	0.011540410372202			0.29604088477201945	0.012127584207600848							0.6222055418030823	0.025061841540504542	0.3140749021799888	0.01365754774483527	0.30592988900423224	0.016099719317698116			
0.23999999999999996			0.5344693763475206	0.1318626932458326			0.713659666214166	0.00821108896811028			0.29604088477201945	0.012127584207600848							0.6174718517927015	0.021617003421536246	0.3140749021799888	0.01365754774483527	0.30320849636668534	0.014693961338160281			
0.25999999999999995			0.504169927333706	0.1643376131940552			0.7086001756767548	0.00761753089952151			0.29604088477201945	0.012127584207600848							0.61496127126088	0.023669264733176213	0.3140749021799888	0.01365754774483527	0.3005062684660225	0.015691022259142044			
0.27999999999999997			0.33337379222231095	0.0038481293196072075			0.7134680188453245	0.00609757961537251			0.29604088477201945	0.012127584207600848							0.6182192765311827	0.019623090323440787	0.3113535095424419	0.014094488118559257	0.3005062684660225	0.015691022259142044			
0.3			0.3305949053741116	0.008054150260601542			0.7171859778008465	0.015069870082541063			0.29604088477201945	0.012127584207600848							0.6218222470653997	0.01751760739653095	0.3125033937554899	0.018849471092450814	0.3005062684660225	0.015691022259142044			
0.32			0.3305949053741116	0.008054150260601542			0.7191599456999123	0.011705089567098136			0.29604088477201945	0.012127584207600848							0.6363299528866885	0.0177399896030603	0.3125033937554899	0.018849471092450814	0.3005062684660225	0.015691022259142044			
0.34			0.3305949053741116	0.008054150260601542			0.7159019404296095	0.008136666601963494			0.29604088477201945	0.012127584207600848							0.6362149644653837	0.01753240890419842	0.3125033937554899	0.018849471092450814	0.3005062684660225	0.015691022259142044			
0.36000000000000004			0.3305949053741116	0.008054150260601542			0.7160744230615668	0.005961126636746768			0.29604088477201945	0.012127584207600848							0.6351800686736405	0.012396007521625556	0.3246921664137986	0.016288842604166534	0.3005062684660225	0.015691022259142044			
0.38000000000000006			0.32781601852591236	0.009778805821394409			0.7151928451648966	0.006440321164500388			0.29604088477201945	0.012127584207600848							0.6414852671085203	0.00971857204855242	0.32519044957278603	0.011302808759324835	0.3005062684660225	0.015691022259142044			
0.4000000000000001			0.3305949053741116	0.008054150260601542			0.7151928451648966	0.006440321164500388			0.29604088477201945	0.012127584207600848							0.6515850834464585	0.02778143289100105	0.3210700311426974	0.013256679473748815	0.3005062684660225	0.015691022259142044			
0.4200000000000001			0.3305949053741116	0.008054150260601542			0.7155378104288109	0.006326395468839496			0.29604088477201945	0.012127584207600848							0.6428076339535255	0.009922171203818811	0.3210700311426974	0.013256679473748815	0.3005062684660225	0.015691022259142044			
0.4400000000000001			0.3305949053741116	0.008054150260601542			0.7151928451648966	0.006440321164500388			0.29604088477201945	0.012127584207600848							0.6474455002794858	0.019963364688736114	0.3210891958795815	0.013282559151805423	0.30491415794937315	0.015309524278504074			
0.46000000000000013			0.32781601852591236	0.009778805821394409			0.7151928451648966	0.006440321164500388			0.29604088477201945	0.012127584207600848							0.6429226223748303	0.018993839966426763	0.3274710532619979	0.02468586242781698	0.30491415794937315	0.015309524278504074			
