param	RSP K_mean	RSP K_sigma	Heat K_mean	Heat K_sigma	logHeat K_mean	logHeat K_sigma	Comm K_mean	Comm K_sigma	logFor K_mean	logFor K_sigma	For K_mean	For K_sigma	FE K_mean	FE K_sigma	Walk K_mean	Walk K_sigma	logComm K_mean	logComm K_sigma	pWalk K_mean	pWalk K_sigma	SCCT K_mean	SCCT K_sigma	SCT K_mean	SCT K_sigma	SP-CT K_mean	SP-CT K_sigma	
0.21999999999999997	0.44799999999999995	0.023879583713848688	0.34840219378427784	0.046756080877225915	0.3850647166361974	0.05466936060048861	0.4494303473491773	0.02757222055081084	0.5835319926873858	0.06579340795427809	0.19289360146252282	0.005894738224195324	0.5272658135283363	0.04402013789465565	0.5769155393053016	0.062488695567687436	0.6497930530164534	0.06371378915432055	0.5549382084095064	0.06293762258963906	0.2732036563071298	0.1338308709940341	0.19360438756855572	0.00648426870223023	0.5024365630712979	0.0472023407693063	
0.23999999999999996	0.45325630712979886	0.019383336965701017	0.33795100548446066	0.04963105345111175	0.3663122486288848	0.06431240781962815	0.4482939670932358	0.022900354958636925	0.5877879341864716	0.07136371601289802	0.19315685557586837	0.00565117013180224	0.5145945155393052	0.049844681742647286	0.5840234003656307	0.05848269586070371	0.6866793418647166	0.06092673109702275	0.558908957952468	0.06059413697445273	0.3060840950639853	0.15968565591379158	0.19336745886654477	0.006557237965143973	0.5037659963436928	0.04617766089446484	
0.25999999999999995	0.4509703839122486	0.021224714557158277	0.32615722120658136	0.04274081893945019	0.3408029250457038	0.04385067523003649	0.44247605118829975	0.020856154369673686	0.5846727605118829	0.061690171846798744	0.19315685557586837	0.00565117013180224	0.5206449725776965	0.04084678067517673	0.5899685557586837	0.054413767705415506	0.688798537477148	0.0661171721779179	0.5634106032906764	0.04759189320828448	0.3275612431444241	0.151896275249943	0.19316563071297985	0.006448295430199237	0.508162340036563	0.040881555562130835	
0.27999999999999997	0.4500314442413162	0.021554217078538662	0.31134478976234	0.04540085987876903	0.3329140767824497	0.06570756246832204	0.44610895795246797	0.015810026347658077	0.5737477148080439	0.08115193854677266	0.19315685557586837	0.00565117013180224	0.5303458866544789	0.03990788115279493	0.5734625228519196	0.050763624244374736	0.7014040219378427	0.0700397984132154	0.5584833638025594	0.05184732802597563	0.3492051188299817	0.16155573525540948	0.19398171846435097	0.00746988110276604	0.5015985374771481	0.046342981940178406	
0.3	0.44451627056672754	0.02205311761310237	0.31771992687385736	0.0695524140197428	0.3091553930530164	0.05360118817441157	0.4497023765996343	0.015544723864391635	0.5701016453382084	0.07145723518160359	0.19315685557586837	0.00565117013180224	0.5256380255941498	0.03789771599847937	0.5800877513711151	0.0654066490382306	0.7226047531992686	0.06269834826517279	0.5688117001828153	0.056352346573109634	0.36448263254113344	0.1726793692383604	0.19339378427787932	0.00618181525073805	0.4976672760511882	0.04667658422522344	
0.32	0.4462581352833637	0.02478720441091089	0.3162281535648994	0.0977556696945216	0.3064789762340036	0.0908507163327587	0.4481755027422303	0.0181810216703427	0.5646478976234003	0.07428309733789012	0.19315685557586837	0.00565117013180224	0.5225755027422303	0.04141565742703153	0.5845060329067642	0.07343660730672277	0.7063224862888482	0.058284550877482466	0.563235100548446	0.06899923602491236	0.3364285191956124	0.16335298409838692	0.19317440585009138	0.006056632754000806	0.5006859232175502	0.047568909724993974	
0.34	0.45007531992687383	0.022643608945544902	0.312235466179159	0.10954392718202328	0.312235466179159	0.10954392718202328	0.45071590493601454	0.012777023204000064	0.5554296160877513	0.05323862544651807	0.19315685557586837	0.00565117013180224	0.5192936014625228	0.04881699003852686	0.5799034734917733	0.06696737109403543	0.7222493601462523	0.06264900899928949	0.5674120658135283	0.06771024698274387	0.36133674588665443	0.17201853994133	0.1933762340036563	0.006172192994766781	0.4969126142595977	0.04438865037578893	
0.36000000000000004	0.4414449725776965	0.02513267063979932	0.3084797074954296	0.10758536270829842	0.308308592321755	0.10719326594902423	0.4493118829981718	0.014604844570046821	0.5688775137111517	0.06939119478458541	0.19315685557586837	0.00565117013180224	0.5404153564899451	0.0575570857245404	0.5895692870201096	0.05449033917055912	0.7315027422303473	0.05330646581245261	0.5690793418647165	0.0644161997329174	0.4085557586837294	0.1692319997376436	0.19317440585009138	0.006056632754000806	0.49576307129798897	0.045460781264839274	
0.38000000000000006	0.45146179159049354	0.01771881707625712	0.32838610603290674	0.12617256745917974	0.32838610603290674	0.12617256745917974	0.45047897623400357	0.010238916741871542	0.5655824497257769	0.08868174003618282	0.19315685557586837	0.00565117013180224	0.5468870201096891	0.04861353196084259	0.5830186471663619	0.05468596910777174	0.7212709323583181	0.05987275425548727	0.5659290676416818	0.06565764995426494	0.4113462522851919	0.18374561875827655	0.19317440585009138	0.006056632754000806	0.4969521023765996	0.03906023665875909	
0.4000000000000001	0.44464789762340035	0.018268152688352853	0.3193784277879342	0.13454047223403504	0.3193784277879342	0.13454047223403504	0.4497681901279707	0.011375619416282247	0.5673243144424132	0.0541752765822466	0.19315685557586837	0.00565117013180224	0.5418281535648994	0.052726046962843914	0.5860987202925045	0.06099580055926034	0.7308182815356489	0.06091179001130636	0.5696585009140768	0.06483890256832532	0.399763071297989	0.1707886735302424	0.1966581352833638	0.019866369072927582	0.5101499085923217	0.0416990006300292	
