	pWalk	Walk	For	logFor	Comm	logComm	RSP	FE	SP-CT	
0.37	0.8508727698510831	0.8562380803377834	0.7799147428085762	0.8539360853540958	0.8413469584650013	0.8272834353396341	0.9073182095510329	0.9112198506810604	0.8701813325740102	
0.38	0.8508017101891898	0.8561858303589971	0.7799543301275742	0.8532434760218813	0.841033977593614	0.826720557572531	0.9072771485899841	0.911271667701505	0.8687968362965837	
0.39	0.8507308257307729	0.8561224497844158	0.779992300586591	0.8525356860878193	0.8406576519988904	0.8264837627169939	0.9072354082634271	0.9113214503040749	0.8673978083560218	
0.4	0.850659585316254	0.856048663744441	0.7800292085394012	0.85181271143681	0.8402069542119214	0.8266186824872538	0.9071928705428278	0.9113688076790225	0.8659858382406596	
0.41000000000000003	0.8505883448393852	0.8559638747391038	0.7800645990181168	0.8510753487770459	0.8396737036020628	0.8271738991861927	0.9071497914372518	0.9114145529325881	0.8645600367149172	
0.42	0.8505169620798356	0.8558675135753312	0.7800989465061732	0.8503238034270493	0.8390476389194521	0.8282031149862503	0.9071064999052545	0.9114579268289242	0.8631223385613832	
0.43	0.8504451782227902	0.8557596074377193	0.7801321870324793	0.8495574446543052	0.8383188026833852	0.829763714575069	0.907062787884914	0.9114991551997005	0.8616732026759956	
0.44	0.8503734435598882	0.8556401997218623	0.7801644696135149	0.8487775298087438	0.8374804175744787	0.8319143626232676	0.9070189136922455	0.9115380187599964	0.8602129984201042	
0.45	0.8503024242384395	0.8555079444784922	0.7801957738608328	0.847983534901036	0.8365268136091988	0.8347114702857196	0.9069748965933963	0.9115745806080036	0.8587421646129499	
0.46	0.8502317258323974	0.8553642513785684	0.7802260920430341	0.8471755474705698	0.8354586097982619	0.8381952493165887	0.9069305572697907	0.9116087065665399	0.8572613409030961	
0.47000000000000003	0.850161783482353	0.8552074036774231	0.780255332131531	0.8463536578001332	0.8342820630880222	0.8423756238393335	0.9068860448626084	0.9116406104337268	0.8557709471553863	
0.48	0.850091668921632	0.8550373674566607	0.780283854197525	0.8455179354099664	0.8330114071710053	0.8472276329700782	0.9068413161009554	0.911670639748417	0.854272773812178	
0.49	0.8500218035114773	0.854854233747269	0.7803112913113157	0.8446685751437937	0.8316623212619416	0.8526958898396109	0.9067971553477255	0.9116983168473253	0.8527670962733843	
0.5	0.8499525763158363	0.8546571415582144	0.780338102805291	0.8438051999712155	0.8302543991574322	0.8586458462212714	0.9067527503695788	0.9117235698409113	0.8512541797135194	
0.51	0.8498843151086147	0.8544457192211972	0.7803641859890148	0.8429286244948719	0.8288116432972819	0.8649093226146964	0.9067088591553626	0.911745999689229	0.8497360180229634	
0.52	0.8498174287810573	0.8542194886988318	0.7803896039606785	0.8420387872376712	0.827357472213625	0.8712944169064796	0.9066651415235228	0.9117659980749253	0.8482120003588491	
0.53	0.8497512973871977	0.8539780587449213	0.7804142004088532	0.8411349602634619	0.8259158577947704	0.8775434516078069	0.9066217466152395	0.9117835498469524	0.8466827058902483	
0.54	0.8496868564263097	0.8537208465117445	0.7804380631223271	0.8402171433228438	0.8245108033534232	0.8833998616160642	0.9065788666555366	0.911799293282174	0.8451498102731843	
0.55	0.849623411444187	0.8534468802746826	0.7804613278993819	0.8392861520160568	0.823162978722339	0.8886319265544783	0.9065361551031609	0.9118123144544137	0.8436137665426959	
0.56	0.8495605804224312	0.8531559908158587	0.780484028907813	0.8383410624409259	0.8218901155532705	0.893081458321785	0.9064942771078225	0.9118227221644066	0.8420740241483575	
0.5700000000000001	0.8494989894796579	0.8528469108716941	0.7805058798364588	0.8373825161788642	0.8207063714717538	0.896665044164011	0.9064526642869982	0.9118309012986509	0.840533172610019	
0.58	0.8494386215319691	0.8525186948422163	0.7805270934234909	0.8364101350771729	0.8196205659464466	0.8993370998776191	0.9064116364337949	0.9118369898376777	0.8389912708484226	
0.59	0.8493789680528339	0.852171030353968	0.7805480638455559	0.8354241087421762	0.818639022139394	0.9010847842947953	0.9063708688918063	0.9118406070100887	0.8374487613614583	
0.6	0.8493199928792569	0.8518023160097654	0.7805682663027746	0.8344236548061801	0.8177632713663889	0.9019397572448593	0.9063313795246449	0.9118415474350116	0.8359064015144738	
0.61	0.8492621507920767	0.8514130036599975	0.7805881803289324	0.8334093871672015	0.8169919302058185	0.901978482575224	0.9062926211487848	0.9118406302042856	0.8343645433978715	
0.62	0.8492060867396061	0.8510004202358257	0.7806074357521292	0.8323812314417004	0.8163226112765054	0.9013010018449643	0.9062555954791904	0.9118377311167275	0.83282474975184	
0.63	0.849150789217932	0.8505639384963347	0.7806264559911579	0.8313380683849783	0.8157491901258276	0.900023433122032	0.906220404146348	0.9118324101684468	0.8312877563686301	
0.64	0.8490965923606589	0.8501021147274699	0.7806450425859951	0.8302812909581966	0.8152642817090336	0.8982713752893972	0.9061877017004691	0.9118252181592692	0.8297535625623915	
0.65	0.8490432904128149	0.8496142404462768	0.7806630844289559	0.8292092126564335	0.8148600324835351	0.8961724017295626	0.9061577208317223	0.9118154732920366	0.8282233504889647	
0.66	0.848990654612281	0.8490979250293788	0.7806806830258268	0.8281226367346304	0.8145276975512643	0.8938494559640574	0.9061306828202277	0.9118035436187495	0.8266973727281655	
0.67	0.8489384457221392	0.8485516414631322	0.7806979252924957	0.827021610204681	0.8142589363538487	0.8914152972667875	0.9061076873327865	0.911789714328269	0.8251772207635286	
0.68	0.8488869342166532	0.847974155404754	0.7807149504564941	0.8259053327420933	0.8140446879411135	0.8889540878386245	0.9060905397757547	0.9117738643992619	0.8236623932387719	
0.6900000000000001	0.8488359429594967	0.8473632079140495	0.7807315977171935	0.8247737649416728	0.8138766049585371	0.8865332828260992	0.9060784017911456	0.9117561030689131	0.8221536609244912	
0.7000000000000001	0.8487861075464842	0.8467162650250113	0.7807477101396652	0.823626436996233	0.8137467885974373	0.8842030079437848	0.9060727670977075	0.9117363004621902	0.8206524145995985	
0.71	0.8487368264248966	0.8460315132881346	0.7807634179730416	0.8224635933177407	0.8136477513096764	0.8820047731973697	0.9060754810681405	0.9117143922962521	0.8191593375576512	
0.72	0.8486893405466163	0.8453061711455955	0.7807787344355209	0.8212845153225432	0.8135731649452099	0.8799704366267967	0.9060878180739227	0.9116902015594724	0.8176744991941902	
0.73	0.84864308364902	0.8445381352827781	0.7807938245675309	0.8200891473320979	0.8135174126426972	0.8781286014777491	0.9061116107060061	0.9116635605303741	0.8161987889941952	
0.74	0.848597355042902	0.8437237436352778	0.780808595529934	0.8188778571490053	0.813476206219118	0.8764964352592557	0.9061483421459903	0.9116337014935108	0.8147326573740052	
0.75	0.8485525658017572	0.8428595647713083	0.780822988776088	0.8176492067954096	0.8134456984305924	0.8750851208787548	0.9062009176540824	0.9116003154423243	0.8132764124049287	
0.76	0.8485067814547469	0.8419412303881102	0.7808370541236366	0.8164035811578089	0.8134232730091242	0.8738961418295959	0.9062705167050732	0.9115635896761894	0.8118304575537609	
0.77	0.8484612775579987	0.8409656054657574	0.7808510412842956	0.8151410816172893	0.8134066966403651	0.8729200973541498	0.9063614918271741	0.9115222824326739	0.8103953701190739	
0.78	0.848414786473834	0.8399286588278948	0.7808647636445405	0.8138617038093516	0.8133943687376818	0.872139527210177	0.9064770733110983	0.91147467447311	0.8089722768275655	
0.79	0.8483669375315528	0.8388243568658381	0.7808782787534133	0.8125633699205266	0.8133851231691818	0.8715295531275409	0.906621721051743	0.9114201071321871	0.8075605140882752	
0.8	0.8483182225478887	0.8376476351391721	0.7808912878921046	0.8112471413347209	0.8133781134090294	0.8710613841247339	0.9067998261719645	0.9113570676744096	0.8061610212661762	
0.81	0.8482695156073735	0.836392085253413	0.7809040120913343	0.8099115129854878	0.8133727877221494	0.8707069078375563	0.9070162374435573	0.9112819486539652	0.8047735019494083	
0.8200000000000001	0.8482192522240187	0.8350516938636239	0.780916530223842	0.8085566131891101	0.8133686473709592	0.8704409069366177	0.9072788420157551	0.9111919162013868	0.8033989193829916	
0.8300000000000001	0.8481679546413539	0.8336164653309059	0.7809289027067693	0.8071817312803837	0.8133653936366491	0.8702421777485344	0.9075952468992796	0.9110815288458605	0.8020383492289804	
0.84	0.84811302348823	0.832077644843543	0.7809409078235463	0.8057867820892205	0.8133628351047449	0.8700932727504652	0.9079735812236817	0.9109452346323864	0.8006903022578263	
0.85	0.8480540774320992	0.8304266537908946	0.780952722461099	0.8043709396652817	0.8133607461929773	0.8699808948714579	0.9084241129726232	0.9107755185164808	0.7993564273774062	
0.86	0.8479891086785324	0.8286490011620199	0.7809642034638469	0.8029336972901862	0.8133590565082057	0.8698954998242027	0.9089585858917164	0.9105603577363188	0.7980359304358775	
0.87	0.8479152627202158	0.8267325946748537	0.7809757199437399	0.8014738047219027	0.8133576926644901	0.8698297047461976	0.9095919349861923	0.9102858796058262	0.7967300712148199	
0.88	0.847828008832662	0.8246597842314322	0.7809870832297038	0.7999902748353648	0.8133565222927983	0.8697783784825366	0.9103402398824271	0.9099314227718461	0.7954391808550385	
0.89	0.8477214423469689	0.8224097002296266	0.7809981193652618	0.7984821315414544	0.8133555398439811	0.8697377943118733	0.9112255878778848	0.9094674919473661	0.7941625080391351	
0.9	0.8475937619718803	0.8199607719416533	0.7810089577889965	0.7969489746155758	0.8133547117737432	0.8697052092710285	0.9122701975791113	0.9088533576862424	0.792899843021738	
0.91	0.8474375252383024	0.8172822791525655	0.7810195780501107	0.7953885630119817	0.8133539987392395	0.869678709651711	0.913502768126077	0.9080297896787326	0.7916527827731812	
0.92	0.8472367224765494	0.8143381634905378	0.7810300596448436	0.7938003414416474	0.8133533788556233	0.8696568458166168	0.9149587695560866	0.9069088420770763	0.7904210740277989	
0.93	0.8469627502538883	0.8110817194497846	0.7810403230146061	0.7921817759385652	0.813352856487394	0.8696386070723826	0.9166808223281779	0.9053547758321244	0.7892039461396956	
0.9400000000000001	0.8465825330844409	0.8074531820693857	0.7810504017036936	0.7905340850086207	0.8133523841238578	0.8696232202167629	0.9187208930404257	0.9031527899855164	0.7880013382552791	
0.9500000000000001	0.8460275946535144	0.8033717469449151	0.7810602798752081	0.7888560997141717	0.8133519494820666	0.8696101077017855	0.9211354700369929	0.8999450898588235	0.7868148845054788	
0.96	0.8451776033430769	0.7987267305583865	0.7810701863536188	0.7871542776438454	0.813351569770618	0.8695988563340566	0.923987920549563	0.8951075414992737	0.7856433932572555	
0.97	0.843792244640567	0.793367250169998	0.7810798187414666	0.7854414406369581	0.8133512415602623	0.8695890727474793	0.9273287302392106	0.8874472287051405	0.7844859507091331	
0.98	0.8413402949967022	0.7870824497677059	0.7810892572208405	0.7837505281940567	0.8133509439014025	0.8695805261223848	0.9311305932388773	0.8744668688994879	0.7833447012643715	
0.99	0.836111751648162	0.7797063998752926	0.7810986084102264	0.782174802559633	null	0.869573001787752	0.9347013236351414	0.8496882920972155	0.7822184009782889	
1.0	0.8305400712936615	null	1.0	null	null	null	null	null	0.7811077362619423	
