param	RSP K_mean	RSP K_sigma	Heat K_mean	Heat K_sigma	logHeat K_mean	logHeat K_sigma	Comm K_mean	Comm K_sigma	logFor K_mean	logFor K_sigma	For K_mean	For K_sigma	FE K_mean	FE K_sigma	Walk K_mean	Walk K_sigma	logComm K_mean	logComm K_sigma	pWalk K_mean	pWalk K_sigma	SCCT K_mean	SCCT K_sigma	SCT K_mean	SCT K_sigma	SP-CT K_mean	SP-CT K_sigma	
0.16	0.46012723948811696	0.0296170471779052	0.4207400365630713	0.14715497220507748	0.8365367458866544	0.04058902692697214	0.8623707495429614	0.03981065613956183	0.8328599634369286	0.05897956561458747	0.20972431444241313	0.09364514263032113	0.6593623400365629	0.060307068616577426	0.8070127970749542	0.05599264608096263	0.875744058500914	0.049736963065931894	0.7841360146252285	0.04160547549432112	0.6908475319926873	0.15764842919756303	0.3497360146252285	0.22009166342826117	0.6587787934186471	0.04561295534095161	
0.18	0.4575605118829981	0.03160840950428383	0.49514442413162696	0.16849168677587084	0.8457769652650822	0.043450695379045355	0.8405908592321754	0.07263100322267442	0.8385287020109687	0.050275465366069624	0.20972431444241313	0.09364514263032113	0.6684665447897623	0.051835196023858277	0.8134493601462522	0.05640528541938201	0.896308592321755	0.040288938351853425	0.7869747714808044	0.04327128175535434	0.7061776965265082	0.16666710487037814	0.3553915904936014	0.2280603665469189	0.6599195612431444	0.045351427423612686	
0.19999999999999998	0.4579378427787934	0.02850407417988278	0.5247341864716636	0.1756057589566259	0.8318683729433272	0.05668825346996345	0.8021382084095063	0.09668261993825499	0.83865155393053	0.04407367895311142	0.20972431444241313	0.09364514263032113	0.6680672760511882	0.051974560050082455	0.8061177330895795	0.0599813318818973	0.9049915904936013	0.035958530726482585	0.7852109689213893	0.04710883231010803	0.7140840950639853	0.17257847697589462	0.36515831809872024	0.24343942780640848	0.653961243144424	0.05722225954139219	
0.21999999999999997	0.4585828153564899	0.027608452648067622	0.5459963436928702	0.18388739969004517	0.8164460694698354	0.06928917382441341	0.7247941499085923	0.12668340662509417	0.8393667276051187	0.046975561958898404	0.2099524680073126	0.0935979846817326	0.6708402193784277	0.05345379733888283	0.8069513711151736	0.05930805012374796	0.9095371115173674	0.04569118128191796	0.7854478976234003	0.045413078771402667	0.7217360146252284	0.17252777823587362	0.36732138939670933	0.24741557157854943	0.6549177330895795	0.05260477495809602	
0.23999999999999996	0.44778939670932355	0.03583864222440645	0.6033857404021937	0.16912927626782898	0.8169857404021937	0.09661638930681837	0.5911049360146251	0.12184569429152253	0.8407575868372943	0.0391474140201432	0.2099524680073126	0.0935979846817326	0.6607751371115174	0.07049317239509255	0.808636197440585	0.05742136057852502	0.9126522851919561	0.03586375641871833	0.7872731261425959	0.041634930717591154	0.7289053016453382	0.16474775281469423	0.40665594149908585	0.2546268122402385	0.6502230347349176	0.051622741816984355	
0.25999999999999995	0.45397148080438754	0.02580758770738882	0.6028109689213893	0.19483193265176726	0.7997382084095064	0.10308549545440601	0.5170383912248628	0.06592969637848757	0.8417755027422302	0.05061586876468373	0.2097155393053016	0.09364607711872651	0.6573484460694697	0.0696267904605289	0.8123524680073126	0.053206623438540226	0.9305579524680073	0.030238515226570343	0.7884314442413163	0.043690353549025444	0.7338808043875684	0.16496563178228402	0.38812723948811695	0.2528285803742909	0.6495648994515538	0.050321772428285165	
0.27999999999999997	0.45349323583180984	0.02806525454981302	0.6345418647166362	0.17998830846127714	0.7922968921389396	0.10111007553938568	0.46520365630712973	0.0534885656342551	0.8361945155393051	0.048586738756776264	0.2097155393053016	0.09364607711872651	0.6712482632541134	0.05901308862734911	0.8096672760511882	0.06059707794472304	0.9256789762340035	0.04391496276700645	0.786509689213894	0.04312837894560635	0.7412606946983545	0.17164620082056972	0.38922413162705666	0.2537259952297515	0.650762705667276	0.048262644586478484	
0.3	0.451944424131627	0.026999855358984186	0.6349850091407678	0.19345182630998178	0.7729038391224862	0.14977676198305076	0.4485879341864716	0.02356222188415128	0.8320438756855576	0.060375310513836065	0.2097155393053016	0.09364607711872651	0.6909484460694698	0.05988218332193661	0.8121287020109688	0.053751550808901025	0.9348840950639853	0.031123478956966794	0.7886464351005483	0.03759315011826085	0.7318756855575868	0.20235468537683132	0.4340650822669104	0.26557115054461555	0.6540314442413162	0.04915440485564237	
0.32	0.45819670932358314	0.022239067254486235	0.7309499085923217	0.15359929648721446	0.7611495429616087	0.16181628144877813	0.44968482632541135	0.022863481097257613	0.837159780621572	0.047723980290526324	0.2097155393053016	0.09364607711872651	0.6946032906764168	0.04719430743920434	0.8172358318098719	0.053041597139176715	0.9339144424131627	0.03242966323695077	0.791963436928702	0.0423362001084628	0.7366800731261425	0.20649195781398447	0.4370135283363802	0.2667525598389569	0.6574318098720292	0.058389873364405855	
0.34	0.4541776965265082	0.01628333578603576	0.7233506398537476	0.15817622760402839	0.7429850091407678	0.15926358365155052	0.4476446069469835	0.012883926224041432	0.8460007312614259	0.050045871427933056	0.20836416819012793	0.08689667124225049	0.70283436928702	0.05564634903517353	0.819346252285192	0.051175930341467994	0.9411539305301645	0.03223395243644673	0.7901952468007312	0.048137253674478735	0.7362018281535648	0.20879225529093712	0.4563714808043875	0.2645294044045232	0.6541016453382084	0.05194021797278935	
0.36000000000000004	0.45208043875685555	0.02153154379324228	0.7297872029250456	0.15617812785007631	0.7392775137111517	0.15785131879638084	0.4488643510054844	0.015732346064689456	0.8241067641681901	0.05118816022441139	0.20836416819012793	0.08689667124225049	0.7094508226691042	0.05079535138403524	0.819416453382084	0.05195684206238685	0.9332255941499085	0.04233546924812017	0.7914939670932358	0.04918502675217259	0.722635466179159	0.23101890415906354	0.45533162705667274	0.26422419732317476	0.6556943327239487	0.046999683383983616	
0.38000000000000006	0.45338354661791586	0.02191613917265707	0.7336219378427787	0.15876054632323341	0.7349469835466179	0.15830357521065086	0.448508957952468	0.014140491176186995	0.8347115173674589	0.05850443590861577	0.20836416819012793	0.08689667124225049	0.7070771480804388	0.06786160542395964	0.8282661791590493	0.0489658216339191	0.9390698354661791	0.041918542152742835	0.7925469835466178	0.049400953272168785	0.7406683729433271	0.20480246276648612	0.45400219378427786	0.2639286466417255	0.6601959780621571	0.052147207884683626	
0.4000000000000001	0.4603597806215722	0.021594560976121377	0.7436870201096891	0.12940794503228734	0.7436870201096891	0.12940794503228734	0.45160219378427785	0.011728417144276785	0.8381952468007313	0.043260313478804366	0.20836416819012793	0.08689667124225049	0.7263956124314441	0.06530831284504275	0.8367736745886654	0.04944141106482541	0.9446595978062156	0.03785877996764315	0.7982201096892138	0.0511844678638827	0.7200862888482632	0.2237364220338798	0.45791590493601464	0.266340752173152	0.6511488117001828	0.05187514076805629	
0.4200000000000001	0.44946983546617914	0.018232951896962793	0.7448058500914077	0.1352349947623571	0.7448058500914077	0.1352349947623571	0.45025082266910416	0.013863805422119709	0.8394851919561241	0.03951479243217565	0.20836416819012793	0.08689667124225049	0.7382244972577696	0.05183117254200213	0.834619378427788	0.04943870977094901	0.9398552102376598	0.037446454457379555	0.8008131627056672	0.05146249934244382	0.7283173674588664	0.23166657939497712	0.47602778793418643	0.26142664435292173	0.6633374771480804	0.04413272832748638	
