measureParam	dummy logComm H_mean	dummy logComm H_sigma	logComm H_mean	logComm H_sigma
0.0010526315789473684			0.6767113494191243	0.0	
0.005263157894736842			0.7453440571939232	0.0	
0.010526315789473684			0.7453440571939232	0.0	
0.021052631578947368			0.7453440571939232	0.0	
0.031578947368421054			0.8375692582663091	0.0	
0.042105263157894736			0.8375692582663091	0.0	
0.05263157894736842			0.7632171581769437	0.0	
0.06315789473684211	0.7632171581769437	0.0	0.7632171581769437	0.0	
0.0736842105263158	0.876461126005362	0.0	0.710455764075067	0.0	
0.08421052631578949	0.876461126005362	0.0	0.7632171581769437	0.0	
0.09473684210526317	0.7632171581769437	0.0	0.710455764075067	0.0	
0.10526315789473686	0.8375692582663091	0.0	0.597354781054513	0.0	
0.11578947368421055	0.876461126005362	0.0	0.8568722073279713	0.0	
0.12631578947368424	0.8185522788203753	0.0	0.8568722073279713	0.0	
0.13684210526315793	0.8568722073279713	0.0	0.8568722073279713	0.0	
0.14736842105263162	0.8568722073279713	0.0	0.8568722073279713	0.0	
0.1578947368421053	0.8568722073279713	0.0	0.8568722073279713	0.0	
0.168421052631579	0.8568722073279713	0.0	0.7998212689901698	0.0	
0.1789473684210527	0.7998212689901698	0.0	0.8185522788203753	0.0	
0.18947368421052638	0.8375692582663091	0.0	0.876461126005362	0.0	
0.20000000000000007	0.876461126005362	0.0	0.8963360142984809	0.0	
0.21052631578947376	0.8963360142984809	0.0	0.8963360142984809	0.0	
0.22105263157894744	0.8963360142984809	0.0	0.8963360142984809	0.0	
0.23157894736842113	0.8568722073279713	0.0	0.8568722073279713	0.0	
0.24210526315789482	0.876461126005362	0.0	0.8568722073279713	0.0	
0.2526315789473685	0.9164968722073279	0.0	0.9164968722073279	0.0	
0.26315789473684215	0.8963360142984809	0.0	0.9164968722073279	0.0	
0.2736842105263158	0.9164968722073279	0.0	0.9164968722073279	0.0	
0.28421052631578947	0.9164968722073279	0.0	0.9164968722073279	0.0	
0.29473684210526313	0.9164968722073279	0.0	0.9369436997319035	0.0	
0.3052631578947368	0.9576764968722072	0.0	0.9576764968722072	0.0	
0.31578947368421045	0.9576764968722072	0.0	0.9576764968722072	0.0	
0.3263157894736841	0.9576764968722072	0.0	0.9369436997319035	0.0	
0.3368421052631578	0.9369436997319035	0.0	0.9369436997319035	0.0	
0.34736842105263144	0.9369436997319035	0.0	0.9369436997319035	0.0	
0.3578947368421051	0.9369436997319035	0.0	0.9369436997319035	0.0	
0.36842105263157876	0.9576764968722072	0.0	0.9576764968722072	0.0	
0.3789473684210524	0.9576764968722072	0.0	0.9576764968722072	0.0	
0.3894736842105261	0.9576764968722072	0.0	0.9576764968722072	0.0	
0.39999999999999974	0.9786952636282396	0.0	0.9786952636282396	0.0	
0.4105263157894734	0.9786952636282396	0.0	0.9786952636282396	0.0	
