measureParam	Comm H_mean	Comm H_sigma	dummy Comm H_mean	dummy Comm H_sigma	dummy logComm H_mean	dummy logComm H_sigma	logComm H_mean	logComm H_sigma
0.0	0.20260240963855422	0.010381511590482955	0.20260240963855422	0.010381511590482955					
0.002173913043478261	0.8937510040160642	0.0466929850395075	0.8937510040160642	0.0466929850395075	0.9317991967871485	0.052264444637670576	0.9317991967871485	0.052264444637670576	
0.010869565217391304	0.9010923694779116	0.04203573896745704	0.9010923694779116	0.04203573896745704	0.9443574297188755	0.033828506842913275	0.9443574297188755	0.033828506842913275	
0.021739130434782608	0.9227670682730924	0.030931039488810305	0.9227670682730924	0.030931039488810305	0.9336024096385541	0.03630616806937965	0.9336024096385541	0.03630616806937965	
0.043478260869565216	0.948273092369478	0.03553466478065225	0.948273092369478	0.03553466478065225	0.9373654618473897	0.03236727600343252	0.9373654618473897	0.03236727600343252	
0.06521739130434782	0.957429718875502	0.026232726955629365	0.957429718875502	0.026232726955629365	0.9559277108433735	0.029624053657253308	0.9559277108433735	0.029624053657253308	
0.08695652173913043	0.9730682730923694	0.021696046918955523	0.9730682730923694	0.021696046918955523	0.9691204819277109	0.02134977762680086	0.9691204819277109	0.02134977762680086	
0.10869565217391304	0.9770803212851407	0.025620406305729364	0.9770803212851407	0.025620406305729364	0.9754497991967872	0.022563521856277198	0.9754497991967872	0.022563521856277198	
0.13043478260869565	0.9832730923694779	0.01309733188455199	0.9832730923694779	0.01309733188455199	0.9856465863453815	0.011427693953301695	0.9856465863453815	0.011427693953301695	
0.15217391304347827	0.976991967871486	0.01940529274364605	0.976991967871486	0.01940529274364605	0.9888353413654618	0.011666409270452666	0.9888353413654618	0.011666409270452666	
0.17391304347826086	0.7831566265060241	0.27031756542971713	0.7831566265060241	0.27031756542971713	0.9912088353413655	0.00815848508604609	0.9912088353413655	0.00815848508604609	
0.19565217391304346	0.34839357429718876	0.2445109162759801	0.34839357429718876	0.2445109162759801	0.9896265060240964	0.01068838004993135	0.9896265060240964	0.01068838004993135	
0.21739130434782605	0.23618072289156627	0.054373644483847065	0.23618072289156627	0.054373644483847065	0.9928072289156626	0.00815848508604609	0.9928072289156626	0.00815848508604609	
0.23913043478260865	0.22034538152610442	0.03507011545472401	0.22034538152610442	0.03507011545472401	0.9920080321285141	0.008199586026704628	0.9920080321285141	0.008199586026704628	
0.26086956521739124	0.21513654618473893	0.020440722225349754	0.21513654618473893	0.020440722225349754	0.9920080321285141	0.008199586026704628	0.9920080321285141	0.008199586026704628	
