param	dummy logComm H_mean	dummy logComm H_sigma	logComm H_mean	logComm H_sigma	
0.0013333333333333335			0.691638963360143	0.06412359318769133	
0.006666666666666667			0.7187488829311885	0.06062007832650874	
0.013333333333333334			0.7131438784629134	0.0825316807793177	
0.02666666666666667			0.709111706881144	0.07282094278620911	
0.04	0.7198927613941019	0.08259071584564859	0.7020196604110813	0.0696206816860213	
0.05333333333333334	0.7269276139410188	0.0850936457013226	0.7269276139410188	0.0850936457013226	
0.06666666666666667	0.6975871313672922	0.043614702607494824	0.7084825737265416	0.06161678088034416	
0.08	0.7117712243074173	0.05877331348536364	0.7193208221626453	0.0734924525931146	
0.09333333333333334	0.6932403932082216	0.08889151726602373	0.6964718498659517	0.0869310826557332	
0.10666666666666667	0.6999892761394102	0.0888480834909909	0.70685254691689	0.08953848638115634	
0.12000000000000001	0.6872064343163539	0.03466498510213214	0.7011617515638964	0.0498119957547222	
0.13333333333333333	0.6692761394101876	0.11439151021835389	0.6836890080428955	0.12740196722008776	
0.14666666666666667	0.740253798033959	0.07167808594855558	0.7483181411974977	0.09052329678596102	
0.16	0.7298445040214477	0.12346142443661345	0.7298445040214477	0.12346142443661345	
0.17333333333333334	0.7431134941912422	0.11900221919818396	0.7266702412868633	0.12983038663362864	
0.18666666666666668	0.7385665773011618	0.10226465982317852	0.7352207327971403	0.10436232806212938	
0.2	0.7574977658623772	0.06267368450655048	0.7725397676496872	0.07594993100639419	
0.21333333333333335	0.7784879356568364	0.04793867157793362	0.7817193923145667	0.03219597526202723	
0.22666666666666668	0.765390527256479	0.08034171179354788	0.765390527256479	0.08034171179354788	
0.24000000000000002	0.7696514745308312	0.08948421784448635	0.8009079535299375	0.058345563625273496	
0.25333333333333335	0.7834924039320822	0.07934596617016952	0.7834924039320822	0.07934596617016952	
0.26666666666666666	0.7602144772117962	0.04113789962374485	0.7602144772117962	0.04113789962374485	
0.27999999999999997	0.8190670241286864	0.039838220761834936	0.8226988382484361	0.033851785375317876	
0.2933333333333333	0.8041394101876674	0.042621034711341176	0.7965898123324398	0.03834814161541456	
0.3066666666666666	0.8122037533512063	0.06048110329752262	0.8157783735478106	0.05589596008012434	
0.3199999999999999	0.8396282394995532	0.07993091195560048	0.8396282394995532	0.07993091195560048	
